dod_id,requirement,status,implementation_evidence,test_evidence,documentation_evidence,acceptance_owner,notes
54,"HPOS, Store API, Blocks/classic, gateways, themes, and approved extensions pass the matrix.",Not assessed,,,,,
55,"Activation, blocked dependencies, upgrade, rollback, and uninstall do not break the storefront.",Not assessed,src/Infrastructure/Database/Migration/RequirementStateMigration.php; src/Infrastructure/Database/Migration/ContextBundleManifestMigration.php; src/Infrastructure/Database/Migration/ConversationFocusReferencesMigration.php; src/Infrastructure/Database/TableNames.php; src/Bootstrap/Activator.php; src/Bootstrap/Deactivator.php; src/Bootstrap/Plugin.php; src/Bootstrap/SecurityLifecycleModule.php; src/Runtime/RuntimeModule.php; src/Bootstrap/Uninstaller.php,tests/Migration/run-migration-contract.php; tests/Security/run-security-lifecycle.php; tests/Migration/run-requirement-state-repository.php; tests/Privacy/run-requirement-privacy-compatibility.php; tests/Provider/run-provider-transmission-boundary.php,docs/data-schema-lifecycle.md; docs/review-and-implementation-report-0.1.7.md,,Schema 1.6 equality gates boot runtime media routes and shopper transmission; unknown newer schemas fail closed and lifecycle rollback/uncertain-state behavior has deterministic fixtures; live install upgrade rollback and uninstall remain unassessed.
56,Failure and degraded states are truthful.,Not assessed,src/AI/Orchestration/CommerceAgent.php; src/AI/Orchestration/MutationFailureOutcome.php; src/AI/Provider/ProviderTransmissionGate.php; src/Requirements/Application/RequirementStateService.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Recommendation/Tool/RecommendationOutputSchemas.php,tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php,docs/architecture.md; docs/logical-tool-catalog.md; docs/test-strategy.md; docs/review-and-implementation-report-0.1.7.md,,A completed Pending Question consumption is represented as a typed mutation and later provider failure persists a partial state-change warning; the complete production failure and recovery matrix remains unassessed.
57,"Queues, retries, caches, notifications, and schedules are bounded and observable.",Not assessed,,,,,
58,"Security, privacy, performance, accessibility, and compatibility gates pass.",Not assessed,,,,,
59,"All 35 canonical anchors have implementation, test, documentation, and acceptance evidence.",Not assessed,,,,,
60,"Google Gemini is the configured, healthy, release-certified default provider route, with centralized model identifiers, explicit privacy activation, validated fallback policy, and no hidden scripted substitute.",Not assessed,config/provider-route-manifest.php; config/contracts/provider-route-manifest.yaml; src/AI/Provider/GeminiProviderAdapter.php; src/AI/Provider/ProviderReadinessService.php; src/AI/Provider/ProviderReadinessStateStore.php; src/AI/Provider/ProviderReleaseGate.php; src/AI/Provider/ProviderTransmissionGate.php,tests/Provider/run-provider-transmission-boundary.php,docs/provider-routing.md; docs/release-evidence.md; docs/review-and-implementation-report-0.1.7.md,,The one default route has closed readiness and exact one-native-call evidence and every alternate route is denied; it remains Unconfigured with five false independent certifications no exact release model privacy/evaluation acceptance or approved fallback.
61,Conversation Focus and Pending Questions allow clear short replies to continue naturally without repetition and prevent ambiguous or wrong-resource binding.,Not assessed,src/Conversation/Application/ConversationStateUpdater.php; src/Conversation/Domain/ConversationFocus.php; src/Conversation/Application/ShortReplyBindingValidator.php; src/Conversation/Persistence/WpdbConversationStore.php; src/Infrastructure/Database/Migration/ConversationFocusReferencesMigration.php; src/AI/Orchestration/CommerceAgent.php; src/AI/Orchestration/MutationFailureOutcome.php,tests/Conversation/run-conversation-focus.php; tests/Conversation/run-pending-question-consumption.php; tests/Provider/run-provider-transmission-boundary.php,docs/architecture.md; docs/data-schema-lifecycle.md; docs/test-strategy.md; docs/review-and-implementation-report-0.1.7.md,,Schema 1.6 fixtures cover bounded durable unresolved references actor-owned compare-and-set exact consumption and truthful mutation accounting after later failure; natural-language threshold sensitive-binding and live continuity acceptance remain unassessed.
62,"Mandatory in-conversation memory, Context Bundles, summaries, corrections, refusals, open loops, and journey checkpoints remain accurate, bounded, actor-scoped, and resumable; optional durable preferences remain consented and erasable.",Not assessed,src/Conversation/Domain/ContextBundle.php; src/Conversation/Domain/ContextBundleAttestor.php; src/Conversation/Domain/ContextBundleManifest.php; src/Conversation/Persistence/WpdbContextBundleManifestRepository.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/AI/Provider/ProviderTransmissionGate.php; src/Requirements/Application/RequirementStateService.php; src/Requirements/Infrastructure/WpdbRequirementStateRepository.php; src/Privacy/WordPressPrivacyIntegration.php,tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Migration/run-requirement-state-repository.php; tests/Privacy/run-requirement-privacy-compatibility.php,config/contracts/schemas/context-bundle.schema.json; docs/architecture.md; docs/data-schema-lifecycle.md; docs/privacy-retention-files.md; docs/review-and-implementation-report-0.1.7.md,,Runtime-attested Context Bundles durable included/excluded source manifests requirement corrections privacy wiring and bounded legacy import have deterministic evidence; retention policy source-deletion propagation validated summaries refusals open loops full journey lifecycle preferences and end-to-end resumability remain unassessed.
63,"Gemini, short-reply, focus, context, summary, memory, cross-session, provider-outage, and cross-customer scenario suites meet their release thresholds.",Not assessed,,tests/Conversation/run-context-bundle-contract.php; tests/Conversation/run-conversation-focus.php; tests/Provider/run-provider-transmission-boundary.php; tests/Provider/run-provider-safe-projection.php; tests/Conversation/run-pending-question-consumption.php; tests/Requirements/run-requirement-state-contract.php,docs/test-strategy.md; docs/release-evidence.md; docs/review-and-implementation-report-0.1.7.md,,The frozen-tree local suite passes 27 PHP runner groups with 242 named scenarios plus four auxiliary suites 262 source symbols provider boundary 13/13 and Node 9/9; controlled live Gemini probabilistic threshold cross-session and accepted cross-customer suites remain unassessed.
64,No release-blocking defect remains and operational rollout/rollback is validated.,Not assessed,,,,,
