anchor_id,canonical_requirement,source_sections,owning_domains,minimum_evidence,implementation_status,test_status,documentation_status,acceptance_status,evidence_links
VYR-CTX-002,"Cultural, language, dialect, location, branch, and time behavior is configurable, correctable, and non-stereotyping.",6.7-6.9; 15.7,culture; location; time; localization,Arabic/English/RTL tests; location/branch/time-zone/cutoff tests; qualified review,Not assessed,Not assessed,Not assessed,Not assessed,src/Context/Tool/ContextToolHandler.php; tests/AI/run-ai-context-governance.php; docs/logical-tool-catalog.md
VYR-PROD-001,"Product, variation, quantity, unit, pack, compatibility, and references resolve exactly.",8.4; 9.2,catalog; product resolution; cart,variation/unit/pack/reference ambiguity tests,Not assessed,Not assessed,Not assessed,Not assessed,src/Recommendation/Infrastructure/WooCommerceProductCandidateRepository.php; src/Recommendation/Application/RecommendationService.php; src/Recommendation/Tool/RecommendationToolHandler.php; tests/Unit/Recommendation/RecommendationServiceTest.php; tests/Recommendation/run-recommendation-state-binding.php; docs/logical-tool-catalog.md
VYR-REC-001,"Recommendations preserve hard constraints, use current eligible candidates, explain fit, and present honest trade-offs.",8.2-8.3,requirements; recommendation,hard-filter and no-exact-match tests; trade-off evidence tests,Not assessed,Not assessed,Not assessed,Not assessed,src/Requirements/Application/RequirementStateService.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Recommendation/Tool/RecommendationOutputSchemas.php; src/Recommendation/Application/RecommendationService.php; src/Recommendation/Infrastructure/WooCommerceProductCandidateRepository.php; src/Recommendation/Infrastructure/WordPressPublishedRecommendationPolicyRepository.php; tests/Recommendation/run-recommendation-state-binding.php; tests/Unit/Recommendation/RecommendationServiceTest.php; tests/Unit/Recommendation/RecommendationToolBindingTest.php; docs/logical-tool-catalog.md
VYR-CART-001,"Cart mutations are authoritative, exact, idempotent, and atomic or explicitly partial.",9; 19,cart; confirmation; idempotency,Woo parity tests; duplicate/retry/concurrency tests; compound-plan tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CHK-001,"Checkout is persistent, chat-first, and commercially equivalent to supported WooCommerce checkout.",10.1-10.12,checkout,Woo checkout parity; persistence/interruption/resume E2E tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CHK-002,Checkout classifies fulfillment before asking irrelevant shipping questions.,10.3,checkout fulfillment,virtual/mixed/multi-package classification tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CHK-003,"Delivery reviews recipient, phone, and address; pickup reviews eligible branch/contact before dependent calculations.",10.4-10.5,checkout contacts/pickup,contact review/change tests; branch/hours/cutoff tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CHK-004,"Shipping packages, methods, cost, estimates, tax, fees, and totals come from current WooCommerce state.",10.6; 21,shipping/tax/totals; Woo adapter,authoritative calculation parity and staleness tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CHK-005,"Billing, required fields, payment eligibility, final review, confirmation, execution, and gateway recovery preserve truth.",10.7-10.10; 19,checkout/payment/confirmation,field/payment eligibility/final review/gateway recovery tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-ORD-001,Customers can read and track only owned orders with separate order/payment/fulfillment/tracking states.,11.1-11.2,orders,ownership/IDOR tests; historical/current rendering tests; status-separation tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-ORD-002,Direct order actions are limited by the current Customer Action Matrix.,11.3,order action matrix,customer-action parity and denial tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-ORD-003,"Order amendments are version-locked, fully recalculated, financially consistent, confirmed, and reconciled.",11.4; 19,order amendments,version-lock/recalculation/financial consistency/reconciliation tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CRM-001,Unsupported direct requests become confirmed prefilled CRM cases without being represented as executed actions.,11.5; 12,CRM; handoff,prefill/no-false-execution/idempotent case tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-CRM-002,"Case submission, decision, execution, resolution, and later status remain separate and current.",11.6-11.7; 12.2,CRM lifecycle; staff execution,decision/execution/status separation and stale-state tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-PAY-001,"Offline evidence can be submitted now or later and remains protected, exact-order-linked, and unapproved by AI.",13.1-13.2; 22.3,payment evidence; protected files,owned-order/evidence protection/duplicate/submission tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-PAY-002,"Payment review decision and WooCommerce transition remain separate, deterministic, and auditable.",13.3-13.4; 19,payment review; Woo transition,review/transition separation; staff confirmation; failure truth tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-MM-001,"Text, voice, images, documents, quotes, references, and location can be interpreted together, but media never authorizes sensitive actions.",14; 4.2; 19.2,multimodal; confirmation,combined-modality uncertainty tests; media-never-confirms tests,Not assessed,Not assessed,Not assessed,Not assessed,src/AI/Orchestration/CommerceAgent.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; docs/architecture.md; docs/review-and-implementation-report-0.1.7.md
VYR-UX-001,"The customer experience is original, mobile-first, messaging-familiar, keyboard-safe, and continuous.",15.1-15.4,customer experience; historical rendering,mobile/keyboard/reconnect/history/quote/reference E2E tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-UX-002,"Experience configuration cannot hide mandatory commercial truth, state, confirmation, or accessibility.",15.5-15.6; 16.3,Experience Studio,schema validation; non-hideable-fact tests; publish/rollback tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-ACC-001,"Critical flows support WCAG 2.2 AA, English, Arabic, LTR, RTL, and mixed direction.",15.7; 26.3; 31.4,accessibility; localization,WCAG 2.2 AA automated/manual tests; screen-reader/zoom/RTL tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-SEC-001,"Security, ownership, customer isolation, injection resistance, file protection, and backend authorization are mandatory.",5; 19; 22,identity; authorization; security,threat-model tests; IDOR; CSRF; injection; file security; secret scans,Not assessed,Not assessed,Not assessed,Not assessed,src/Conversation/Domain/ContextBundleAttestor.php; src/AI/Provider/ProviderRequestAttestor.php; src/AI/Provider/ProviderTransmissionGate.php; src/AI/Orchestration/WooAuthoritativeContextProvider.php; src/Requirements/Infrastructure/WpdbRequirementStateRepository.php; src/Requirements/Application/RequirementStateService.php; src/Recommendation/Tool/RecommendationToolHandler.php; src/Identity/Application/GuestAccountLinkService.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php; tests/Migration/run-requirement-state-repository.php; docs/architecture.md; docs/audit-dispositions.md
VYR-PRV-001,"External-service use is authorized, disclosed where required, minimized, retained appropriately, exportable, and erasable where applicable.",6.5.4; 20.4; 22.4-22.6,privacy; memory; external services,data-minimization/consent/retention/export/erasure tests,Not assessed,Not assessed,Not assessed,Not assessed,config/provider-route-manifest.php; src/Privacy/WordPressPrivacyIntegration.php; src/Requirements/Application/RequirementStateService.php; src/Infrastructure/Database/TableNames.php; src/Conversation/Application/ContextBundleAssembler.php; src/Conversation/Contract/ContextBundleContract.php; src/AI/Provider/ProviderReadinessService.php; src/AI/Provider/ProviderReleaseGate.php; src/AI/Provider/ProviderTransmissionGate.php; tests/Privacy/run-requirement-privacy-compatibility.php; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; docs/privacy-retention-files.md; docs/data-schema-lifecycle.md; docs/release-evidence.md
VYR-OPS-001,"Operations separates viewing, messaging, internal notes, decision, execution, and verified result.",5.7; 24,operations; capabilities,capability-separation tests; read-only monitor tests; audit tests,Not assessed,Not assessed,Not assessed,Not assessed,
VYR-REL-001,"WooCommerce public-contract compatibility, HPOS, Blocks/classic, activation, upgrade, rollback, and uninstall are production safe.",21; 23.6; 26.1; 31.1,Woo integration; lifecycle; compatibility,HPOS/Blocks/classic/gateway/theme tests; install/upgrade/rollback/uninstall tests,Not assessed,Not assessed,Not assessed,Not assessed,src/Infrastructure/Database/Migration/RequirementStateMigration.php; src/Infrastructure/Database/TableNames.php; src/Bootstrap/Activator.php; src/Bootstrap/Plugin.php; src/Bootstrap/SecurityLifecycleModule.php; src/Runtime/RuntimeModule.php; src/Bootstrap/Uninstaller.php; src/AI/Orchestration/WooAuthoritativeContextProvider.php; tests/Migration/run-migration-contract.php; tests/Migration/run-requirement-state-repository.php; tests/Privacy/run-requirement-privacy-compatibility.php; tests/Provider/run-provider-transmission-boundary.php; docs/data-schema-lifecycle.md; docs/compatibility-matrix.csv; docs/release-evidence.md
VYR-TST-001,"Deterministic tests, probabilistic evaluations, qualified review, quality thresholds, and traceability block incomplete release.",25-26; 28; 31; 33,quality system; release,deterministic suite; controlled AI evaluations; human review; traceability evidence,Not assessed,Not assessed,Not assessed,Not assessed,composer.json; tests/Conversation/run-context-bundle-contract.php; tests/Provider/run-provider-transmission-boundary.php; tests/Requirements/run-requirement-state-contract.php; tests/Recommendation/run-recommendation-state-binding.php; tests/Migration/run-migration-contract.php; tests/Migration/run-requirement-state-repository.php; tests/Privacy/run-requirement-privacy-compatibility.php; tests/Unit/Recommendation/RecommendationToolBindingTest.php; docs/test-strategy.md; docs/audit-dispositions.md; docs/review-and-implementation-report-0.1.7.md; docs/release-evidence.md
